type,organism,paralog
Complex,C. glabrata,1.01506024096386
Complex,C. glabrata,1.01226993865031
Complex,C. glabrata,1.01369863013699
Complex,C. glabrata,1.01779359430605
Complex,C. glabrata,1.00334448160535
Complex,C. glabrata,1.01071428571429
Complex,C. glabrata,1.0042194092827
Complex,C. glabrata,1.01986754966887
Complex,C. glabrata,1.01666666666667
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.03244837758112
Complex,C. glabrata,1.01509433962264
Complex,C. glabrata,1.01215805471125
Complex,C. glabrata,1.04093567251462
Complex,C. glabrata,1.01052631578947
Complex,C. glabrata,1.01290322580645
Complex,C. glabrata,1.00649350649351
Complex,C. glabrata,1.00671140939597
Complex,C. glabrata,1.0
Complex,C. glabrata,2.11370262390671
Complex,C. glabrata,1.01271186440678
Complex,C. glabrata,2.93002915451895
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02456140350877
Complex,C. glabrata,1.00664451827243
Complex,C. glabrata,4.92128279883382
Complex,C. glabrata,1.0064308681672
Complex,C. glabrata,1.01215805471125
Complex,C. glabrata,1.01219512195122
Complex,C. glabrata,1.11290322580645
Complex,C. glabrata,1.01428571428571
Complex,C. glabrata,1.00732600732601
Complex,C. glabrata,1.02678571428571
Complex,C. glabrata,1.01369863013699
Complex,C. glabrata,1.01498127340824
Complex,C. glabrata,1.01916932907348
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01547987616099
Complex,C. glabrata,1.03206997084548
Complex,C. glabrata,1.01986754966887
Complex,C. glabrata,1.01661129568106
Complex,C. glabrata,1.01408450704225
Complex,C. glabrata,1.00882352941176
Complex,C. glabrata,1.01006711409396
Complex,C. glabrata,1.00341296928328
Complex,C. glabrata,1.03088803088803
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00369003690037
Complex,C. glabrata,1.01470588235294
Complex,C. glabrata,1.00877192982456
Complex,C. glabrata,1.03498542274052
Complex,C. glabrata,1.00311526479751
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00623052959502
Complex,C. glabrata,1.01700680272109
Complex,C. glabrata,1.07042253521127
Complex,C. glabrata,1.0
Complex,C. glabrata,1.06122448979592
Complex,C. glabrata,1.0421686746988
Complex,C. glabrata,1.01474926253687
Complex,C. glabrata,1.0061919504644
Complex,C. glabrata,1.01190476190476
Complex,C. glabrata,1.01176470588235
Complex,C. glabrata,1.01639344262295
Complex,C. glabrata,1.00602409638554
Complex,C. glabrata,1.95043731778426
Complex,C. glabrata,1.95043731778426
Complex,C. glabrata,1.03726708074534
Complex,C. glabrata,1.07165109034268
Complex,C. glabrata,1.0207100591716
Complex,C. glabrata,1.02857142857143
Complex,C. glabrata,1.01659751037344
Complex,C. glabrata,1.003861003861
Complex,C. glabrata,1.02089552238806
Complex,C. glabrata,1.06060606060606
Complex,C. glabrata,1.00651465798046
Complex,C. glabrata,1.01261829652997
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02325581395349
Complex,C. glabrata,1.01519756838906
Complex,C. glabrata,1.0082304526749
Complex,C. glabrata,1.14285714285714
Complex,C. glabrata,1.01083032490975
Complex,C. glabrata,1.01826484018265
Complex,C. glabrata,1.20121951219512
Complex,C. glabrata,1.0032154340836
Complex,C. glabrata,1.01945525291829
Complex,C. glabrata,1.02052785923754
Complex,C. glabrata,1.03790087463557
Complex,C. glabrata,1.01208459214502
Complex,C. glabrata,1.01169590643275
Complex,C. glabrata,1.01167315175097
Complex,C. glabrata,1.01644736842105
Complex,C. glabrata,1.00677966101695
Complex,C. glabrata,1.02317880794702
Complex,C. glabrata,1.17333333333333
Complex,C. glabrata,1.01476014760148
Complex,C. glabrata,1.01246105919003
Complex,C. glabrata,1.00993377483444
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0188679245283
Complex,C. glabrata,1.00909090909091
Complex,C. glabrata,1.00892857142857
Complex,C. glabrata,1.02547770700637
Complex,C. glabrata,1.00301204819277
Complex,C. glabrata,1.00295857988166
Complex,C. glabrata,1.01260504201681
Complex,C. glabrata,1.00657894736842
Complex,C. glabrata,1.00958466453674
Complex,C. glabrata,1.01238390092879
Complex,C. glabrata,1.01607717041801
Complex,C. glabrata,1.00316455696203
Complex,C. glabrata,1.00653594771242
Complex,C. glabrata,1.00943396226415
Complex,C. glabrata,1.01932367149758
Complex,C. glabrata,1.00645161290323
Complex,C. glabrata,1.01166180758017
Complex,C. glabrata,1.00689655172414
Complex,C. glabrata,1.01764705882353
Complex,C. glabrata,1.01418439716312
Complex,C. glabrata,1.00696864111498
Complex,C. glabrata,1.01898734177215
Complex,C. glabrata,1.00353356890459
Complex,C. glabrata,1.01510574018127
Complex,C. glabrata,1.009375
Complex,C. glabrata,1.51428571428571
Complex,C. glabrata,1.00909090909091
Complex,C. glabrata,1.00595238095238
Complex,C. glabrata,1.0133779264214
Complex,C. glabrata,1.00600600600601
Complex,C. glabrata,1.01572327044025
Complex,C. glabrata,1.01176470588235
Complex,C. glabrata,1.00684931506849
Complex,C. glabrata,1.02572347266881
Complex,C. glabrata,1.01801801801802
Complex,C. glabrata,1.00314465408805
Complex,C. glabrata,1.00925925925926
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02083333333333
Complex,C. glabrata,1.01253918495298
Complex,C. glabrata,1.01307189542484
Complex,C. glabrata,1.00623052959502
Complex,C. glabrata,1.01226993865031
Complex,C. glabrata,1.00367647058824
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00617283950617
Complex,C. glabrata,1.00600600600601
Complex,C. glabrata,1.0979020979021
Complex,C. glabrata,1.003125
Complex,C. glabrata,1.01176470588235
Complex,C. glabrata,1.00682593856655
Complex,C. glabrata,1.00597014925373
Complex,C. glabrata,1.01052631578947
Complex,C. glabrata,1.02
Complex,C. glabrata,1.00606060606061
Complex,C. glabrata,1.00917431192661
Complex,C. glabrata,1.00920245398773
Complex,C. glabrata,1.02352941176471
Complex,C. glabrata,1.01470588235294
Complex,C. glabrata,1.01176470588235
Complex,C. glabrata,1.00630914826498
Complex,C. glabrata,1.00617283950617
Complex,C. glabrata,1.00322580645161
Complex,C. glabrata,1.00980392156863
Complex,C. glabrata,1.00375939849624
Complex,C. glabrata,1.0064308681672
Complex,C. glabrata,1.01010101010101
Complex,C. glabrata,1.00293255131965
Complex,C. glabrata,1.01302931596091
Complex,C. glabrata,1.00890207715134
Complex,C. glabrata,1.01115241635688
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0791788856305
Complex,C. glabrata,1.0062893081761
Complex,C. glabrata,1.01342281879195
Complex,C. glabrata,1.0
Complex,C. glabrata,1.03947368421053
Complex,C. glabrata,1.003003003003
Complex,C. glabrata,1.02095808383234
Complex,C. glabrata,1.02932551319648
Complex,C. glabrata,1.02985074626866
Complex,C. glabrata,1.00604229607251
Complex,C. glabrata,1.03614457831325
Complex,C. glabrata,1.00706713780919
Complex,C. glabrata,1.0
Complex,C. glabrata,1.05263157894737
Complex,C. glabrata,1.00583090379009
Complex,C. glabrata,1.01461988304094
Complex,C. glabrata,1.00583090379009
Complex,C. glabrata,1.00593471810089
Complex,C. glabrata,1.00291545189504
Complex,C. glabrata,1.00877192982456
Complex,C. glabrata,1.00877192982456
Complex,C. glabrata,1.00854700854701
Complex,C. glabrata,1.00920245398773
Complex,C. glabrata,1.03289473684211
Complex,C. glabrata,1.00884955752212
Complex,C. glabrata,1.01612903225806
Complex,C. glabrata,1.05539358600583
Complex,C. glabrata,1.16615384615385
Complex,C. glabrata,1.00879765395894
Complex,C. glabrata,1.00584795321637
Complex,C. glabrata,1.00890207715134
Complex,C. glabrata,1.00692041522491
Complex,C. glabrata,1.00588235294118
Complex,C. glabrata,1.02424242424242
Complex,C. glabrata,1.00591715976331
Complex,C. glabrata,1.25947521865889
Complex,C. glabrata,1.01483679525223
Complex,C. glabrata,1.00923076923077
Complex,C. glabrata,1.00882352941176
Complex,C. glabrata,1.01519756838906
Complex,C. glabrata,1.00597014925373
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00914634146341
Complex,C. glabrata,1.01324503311258
Complex,C. glabrata,5.85422740524781
Complex,C. glabrata,1.09763313609467
Complex,C. glabrata,1.01201201201201
Complex,C. glabrata,2.09620991253644
Complex,C. glabrata,1.01492537313433
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00588235294118
Complex,C. glabrata,1.02121212121212
Complex,C. glabrata,1.03963414634146
Complex,C. glabrata,1.03030303030303
Complex,C. glabrata,1.01183431952663
Complex,C. glabrata,5.85422740524781
Complex,C. glabrata,1.00877192982456
Complex,C. glabrata,1.00537634408602
Complex,C. glabrata,1.00584795321637
Complex,C. glabrata,1.09876543209877
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00660066006601
Complex,C. glabrata,1.04615384615385
Complex,C. glabrata,5.85422740524781
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01086956521739
Complex,C. glabrata,1.02388059701493
Complex,C. glabrata,1.0133779264214
Complex,C. glabrata,1.03012048192771
Complex,C. glabrata,1.01230769230769
Complex,C. glabrata,1.01801801801802
Complex,C. glabrata,1.00983606557377
Complex,C. glabrata,1.00879765395894
Complex,C. glabrata,1.01775147928994
Complex,C. glabrata,1.04747774480712
Complex,C. glabrata,1.02047781569966
Complex,C. glabrata,1.0
Complex,C. glabrata,1.83965014577259
Complex,C. glabrata,1.01223241590214
Complex,C. glabrata,1.05135951661631
Complex,C. glabrata,1.04863221884498
Complex,C. glabrata,1.00589970501475
Complex,C. glabrata,1.00595238095238
Complex,C. glabrata,1.01754385964912
Complex,C. glabrata,1.01749271137026
Complex,C. glabrata,1.02114803625378
Complex,C. glabrata,1.02623906705539
Complex,C. glabrata,1.00293255131965
Complex,C. glabrata,1.01234567901235
Complex,C. glabrata,1.00671140939597
Complex,C. glabrata,1.0058651026393
Complex,C. glabrata,1.00292397660819
Complex,C. glabrata,1.02678571428571
Complex,C. glabrata,1.01173020527859
Complex,C. glabrata,1.01501501501502
Complex,C. glabrata,1.01775147928994
Complex,C. glabrata,1.00946372239748
Complex,C. glabrata,1.00613496932515
Complex,C. glabrata,1.30841121495327
Complex,C. glabrata,1.04242424242424
Complex,C. glabrata,1.16666666666667
Complex,C. glabrata,1.01483679525223
Complex,C. glabrata,1.01801801801802
Complex,C. glabrata,1.01465201465201
Complex,C. glabrata,1.04968944099379
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01374570446735
Complex,C. glabrata,1.0377358490566
Complex,C. glabrata,1.0046511627907
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.29577464788732
Complex,C. glabrata,1.29577464788732
Complex,C. glabrata,1.04424778761062
Complex,C. glabrata,1.02777777777778
Complex,C. glabrata,1.075
Complex,C. glabrata,1.40243902439024
Complex,C. glabrata,1.03114186851211
Complex,C. glabrata,1.01628664495114
Complex,C. glabrata,2.02623906705539
Complex,C. glabrata,1.00900900900901
Complex,C. glabrata,1.0058651026393
Complex,C. glabrata,1.00641025641026
Complex,C. glabrata,1.00879765395894
Complex,C. glabrata,1.01510574018127
Complex,C. glabrata,1.9067055393586
Complex,C. glabrata,1.9067055393586
Complex,C. glabrata,1.9067055393586
Complex,C. glabrata,1.11143695014663
Complex,C. glabrata,1.02623906705539
Complex,C. glabrata,1.11143695014663
Complex,C. glabrata,1.02046783625731
Complex,C. glabrata,1.01510574018127
Complex,C. glabrata,1.07580174927114
Complex,C. glabrata,1.01173020527859
Complex,C. glabrata,2.02915451895044
Complex,C. glabrata,2.01754385964912
Complex,C. glabrata,1.0
Complex,C. glabrata,1.17297297297297
Complex,C. glabrata,1.04819277108434
Complex,C. glabrata,1.00687285223368
Complex,C. glabrata,1.0125786163522
Complex,C. glabrata,1.08163265306122
Complex,C. glabrata,1.01655629139073
Complex,C. glabrata,1.03003003003003
Complex,C. glabrata,1.01694915254237
Complex,C. glabrata,1.01754385964912
Complex,C. glabrata,1.0096463022508
Complex,C. glabrata,1.03560830860534
Complex,C. glabrata,1.003003003003
Complex,C. glabrata,1.01466275659824
Complex,C. glabrata,1.01474926253687
Complex,C. glabrata,1.01840490797546
Complex,C. glabrata,1.00630914826498
Complex,C. glabrata,1.01302931596091
Complex,C. glabrata,1.01461988304094
Complex,C. glabrata,1.02469135802469
Complex,C. glabrata,1.0
Complex,C. glabrata,1.04956268221574
